id_equipo;nombre;id_arte_marcial
702055758;Equipo Lake Stephenton;5
840201567;Equipo Dianamouth;4
335045572;Equipo Biancatown;1
426091921;Equipo Port Peter;1
725528073;Equipo New Tannerberg;2
965865937;Equipo Lake Robertstad;2
318090032;Equipo Brianmouth;2
647590522;Equipo Johnsonberg;1
549084226;Equipo East Sophia;3
983229660;Equipo Lutzhaven;1
105505887;Equipo Coryville;4
829823094;Equipo East Kellyside;3
93145213;Equipo North Jacobburgh;3
167886090;Equipo South Carla;2
630017116;Equipo Michaelborough;1
794365338;Equipo Cindyberg;4
506672723;Equipo Dixonview;1
59506138;Equipo Matthewchester;4
730718541;Equipo South Christopher;2
428330308;Equipo Port Jeremy;2
259016046;Equipo Lake Maryburgh;4
187416765;Equipo West Chelseashire;4
589095306;Equipo Silvamouth;1
654629006;Equipo New Richard;5
272812781;Equipo Lake Heidi;5
514668245;Equipo New Jeffreyfurt;4
493783611;Equipo South Roy;1
734510961;Equipo South Jessica;3
147880916;Equipo Willisbury;2
874513799;Equipo Anthonyton;2
637156745;Equipo Larsenside;5
538886280;Equipo East Kyle;4
326363567;Equipo East Joanne;1
259263837;Equipo North Kimberly;3
781218372;Equipo South Sierra;5
653742756;Equipo West Joshuaberg;5
838225043;Equipo East Matthew;4
240593894;Equipo Oneillchester;2
733018932;Equipo South Daniel;2
512675211;Equipo Elizabethside;2
788918620;Equipo New Heidi;1
872594914;Equipo Jenniferstad;4
86863892;Equipo Walkerhaven;1
196568505;Equipo Andersonbury;2
621318294;Equipo Santosport;1
511484971;Equipo East Lynn;5
600041445;Equipo Sabrinafurt;5
138599382;Equipo Port Crystal;5
799348473;Equipo Riceton;2
979859638;Equipo West Danaview;4
931872845;Equipo Pedroside;2
796499024;Equipo Michelestad;5
610078333;Equipo Andreashire;1
560760707;Equipo Rodriguezmouth;1
598343896;Equipo Joshuachester;3
686148609;Equipo Cookfort;1
601023332;Equipo West Bruce;2
818957709;Equipo Port Kristopher;1
294928480;Equipo Jessicaton;5
146788478;Equipo Andersonport;2
355219912;Equipo Elizabethborough;4
400937900;Equipo Davidland;3
453842389;Equipo South Robertmouth;4
637738535;Equipo Sherylland;3
857342267;Equipo Riversland;4
634786368;Equipo Patriciaborough;1
934279528;Equipo East Miguelview;1
851361729;Equipo New Tiffanyport;5
843373760;Equipo Villarrealmouth;1
445575354;Equipo South Dennis;5
797439258;Equipo Jefferyberg;4
211549244;Equipo New Tami;4
355178518;Equipo Lake Brandon;1
432905043;Equipo Port Sarah;3
738036025;Equipo North Jeffreyfurt;3
188217013;Equipo Thomaschester;2
754839347;Equipo East Nicholas;4
863311517;Equipo Megantown;5
607077797;Equipo Woodwardside;5
302645501;Equipo Cherrychester;5
587627669;Equipo Christianside;3
464615513;Equipo North Matthewmouth;5
3171540;Equipo Sosahaven;2
467316655;Equipo New Kimberlyburgh;5
432961810;Equipo West Robertborough;1
798594247;Equipo Dawsonburgh;5
457209795;Equipo Samueltown;5
439799450;Equipo Nguyenshire;5
866464798;Equipo West Stephenchester;1
866553981;Equipo Keymouth;1
731161048;Equipo South Ernestville;1
82742632;Equipo Colemanton;2
187176161;Equipo Sanchezfurt;4
867048069;Equipo Schroedertown;4
403692841;Equipo Port Matthewfort;2
566031064;Equipo Port Andrew;1
913121013;Equipo Johnmouth;3
842460020;Equipo West Victoria;4
79732447;Equipo Popemouth;5
892312052;Equipo West Kelly;3
122842906;Equipo Matthewland;1
427527675;Equipo Alexandrafort;1
737826087;Equipo Dorothyberg;4
346851972;Equipo Thomasland;1
649720409;Equipo New Michael;2
340682517;Equipo Stephanieland;3
665736541;Equipo Theresastad;2
652095516;Equipo Andersonhaven;1
895842179;Equipo Joshuamouth;2
269397329;Equipo West Megan;3
187541917;Equipo Port Jennifertown;3
96444520;Equipo New Lisa;4
260550102;Equipo Hansonfurt;5
24239464;Equipo South James;2
541613318;Equipo Georgefurt;2
858644705;Equipo Donnaborough;5
795118594;Equipo New Christian;4
769301483;Equipo Tuckerhaven;2
354805349;Equipo Port Benjamin;2
542778156;Equipo Nunezton;3
75930295;Equipo North Mauricehaven;1
524255581;Equipo Jefferytown;3
584573037;Equipo East Brandonbury;1
357855810;Equipo East Normanfort;3
878919033;Equipo South Ambermouth;4
806137088;Equipo New Michaelfurt;2
335714972;Equipo Boydburgh;4
709684450;Equipo Port Jasontown;4
985614823;Equipo Edwardsstad;4
270369180;Equipo Andersonmouth;4
62248738;Equipo Paulborough;2
977945724;Equipo Penningtonfurt;3
186531600;Equipo East Samuel;3
263578556;Equipo South Kyleton;3
466643789;Equipo Port Reginafort;5
544494205;Equipo East Tylerhaven;2
117485870;Equipo New Catherine;4
642567215;Equipo New Adriennefurt;3
189571879;Equipo West Jorgetown;3
38960802;Equipo Annaland;4
469067410;Equipo Lake Stacy;5
418634697;Equipo Karenport;5
408661410;Equipo North Lindsay;2
994984930;Equipo North Robertside;4
844012462;Equipo New Brian;4
411114055;Equipo Port Brittneyhaven;5
725559207;Equipo South Dwayne;3
415201930;Equipo Carterburgh;4
646590293;Equipo Port Bobby;4
660118927;Equipo Lake Codyton;5
205525354;Equipo Port Jenniferfort;2
651256284;Equipo Mendozafort;5
783864509;Equipo Johnton;3
602656632;Equipo Marktown;1
678656303;Equipo Hugheschester;5
411032117;Equipo Troymouth;2
223859596;Equipo Stevenview;2
198547757;Equipo Ramoshaven;3
138635678;Equipo Thompsonhaven;2
281400503;Equipo Lake Mary;3
784373000;Equipo New Adrianborough;5
521390578;Equipo Port Cindyshire;5
948865777;Equipo Ronaldbury;2
546337824;Equipo East Ashley;1
441958441;Equipo Eugenefort;4
835205700;Equipo Crawfordchester;4
500376262;Equipo Maryborough;1
722561604;Equipo Bowersbury;2
726943841;Equipo Daniellemouth;1
118481146;Equipo Ballville;5
702886972;Equipo Lake Steven;5
224939565;Equipo Smithside;4
777152641;Equipo North Juanhaven;1
717410697;Equipo North Mary;5
634149371;Equipo Port Dariustown;4
632518331;Equipo Simsfurt;1
580030317;Equipo East Cindy;3
616415253;Equipo Brittanyside;1
766256424;Equipo Christopherchester;3
551008804;Equipo Tuckerfort;4
126237106;Equipo Davisberg;3
890201876;Equipo Thompsonborough;5
40478671;Equipo North Rebecca;3
119925782;Equipo New Shawnmouth;4
362389897;Equipo New Joseph;5
912767263;Equipo Port Lorichester;1
718929164;Equipo Fosterfort;3
501794044;Equipo East Bonnieburgh;5
773330043;Equipo Port Jennifermouth;3
894583559;Equipo Lake Jesus;5
520285513;Equipo Staceystad;5
335455606;Equipo Wutown;3
886130640;Equipo South Stevenstad;3
760428937;Equipo Watsonport;1
913522893;Equipo South Tammybury;5
218899480;Equipo New Kelly;2
103689735;Equipo Johnsonmouth;3
973364182;Equipo Yoderfurt;2
27487982;Equipo Frostside;2
412080622;Equipo Port Christopherfurt;2
594456567;Equipo Clarkmouth;1
954877514;Equipo North Matthewland;2
208399320;Equipo Whitneybury;4
837765493;Equipo Charlesville;2
200201303;Equipo Lake Blakeview;5
554294485;Equipo Kristinatown;2
442837701;Equipo Port Suzannemouth;3
619564044;Equipo New Leah;5
117547779;Equipo Arroyoborough;2
187607236;Equipo West Karen;2
370395109;Equipo East Ryanside;2
558201281;Equipo Foxtown;1
606310864;Equipo Thomasport;5
749479716;Equipo Colemantown;5
577747446;Equipo Palmerport;1
985549030;Equipo Lynchside;5
177154;Equipo East Lauren;4
225666212;Equipo Woodstown;3
189495469;Equipo Sullivanville;1
837726709;Equipo Port Sandra;5
174391312;Equipo South Derrick;2
476014575;Equipo New Davidport;4
375626263;Equipo Seanstad;3
441405129;Equipo Christinaton;1
989311366;Equipo Port Dawn;2
176921608;Equipo East Judyburgh;3
261142680;Equipo Jodiburgh;3
407228973;Equipo West Sarah;1
912080495;Equipo East Jason;4
886515190;Equipo East David;2
300151868;Equipo New Kellyton;1
896333541;Equipo Robertsonport;2
584574086;Equipo South Danielstad;5
280049651;Equipo Lucasport;5
64399255;Equipo New Raymondland;5
471523186;Equipo Lake Andrew;2
595391340;Equipo South Troy;5
874520725;Equipo North Anita;3
168873897;Equipo New Craig;5
727392309;Equipo Phillipsberg;4
949418606;Equipo Donnastad;5
686977189;Equipo South Marychester;1
107692715;Equipo Gomezberg;4
407869659;Equipo Lake Lisa;3
724833368;Equipo Josephburgh;2
982042745;Equipo Lake Leeton;5
672192254;Equipo Stevenchester;5
528090005;Equipo West Brooke;3
54149075;Equipo Lanceburgh;5
376553659;Equipo East Alexis;2
387489671;Equipo Penahaven;3
339581150;Equipo New Annview;5
379405855;Equipo New Maryshire;4
111160352;Equipo New Lucas;4
445113609;Equipo Port Josephberg;4
563669817;Equipo Moralesberg;2
235166132;Equipo South Shannonton;5
824738963;Equipo New Barbara;2
475526004;Equipo South Angelaburgh;2
783268989;Equipo Jeremytown;2
600284339;Equipo Arnoldfort;3
879875479;Equipo South Fernando;1
979793017;Equipo Marcusport;2
658062789;Equipo Caseyburgh;4
155713016;Equipo Lake Kristinbury;3
417529669;Equipo Rodriguezview;3
341935767;Equipo Cervantesborough;5
656476369;Equipo Sydneyberg;5
51639974;Equipo Mooneyville;3
445599;Equipo New Brendaview;5
601540857;Equipo Nicholasborough;2
273588621;Equipo Schroederland;2
682198588;Equipo Christinaville;3
575017851;Equipo New Whitneyburgh;3
610438771;Equipo Veronicafort;3
620635282;Equipo Donaldborough;3
693014229;Equipo South John;3
146697820;Equipo South Brandonport;3
579814916;Equipo Torrestown;1
99767248;Equipo North Katherineport;3
601182693;Equipo North Stephanie;3
244048936;Equipo Port Ericside;3
605733120;Equipo North Morganfurt;4
781097454;Equipo New Daisy;3
297197745;Equipo Hutchinsonton;1
830561021;Equipo Heatherton;4
364863937;Equipo Fisherview;4
36441776;Equipo Mcintoshtown;1
915353863;Equipo Lauramouth;5
378098811;Equipo North Ebony;2
816214095;Equipo West Amanda;3
609095617;Equipo Kristiburgh;4
35462874;Equipo East Adamstad;4
199704530;Equipo Suzanneburgh;1
422588698;Equipo Bishopshire;5
131578052;Equipo Brianchester;2
28231826;Equipo Herringmouth;2
310271287;Equipo Jessicastad;3
600832262;Equipo Millerfurt;5
531087134;Equipo South Michael;1
474093058;Equipo Sarahburgh;5
504273353;Equipo Larrymouth;3
620959462;Equipo Jonesside;2
694941897;Equipo West Johnburgh;1
304892145;Equipo Lake Jacqueline;4
949709795;Equipo Mayfort;1
276338694;Equipo West Cynthiafort;1
962093289;Equipo South Adam;3
895099526;Equipo New Seanfort;1
461014113;Equipo West Andrew;3
385892118;Equipo East Joelfort;5
774700803;Equipo Kerrview;1
773016481;Equipo Port Reginaborough;2
480458154;Equipo Randallton;4
551224927;Equipo Davischester;3
533322380;Equipo New Debratown;2
779718602;Equipo South Brian;3
600645082;Equipo Ericafort;2
231847716;Equipo Erikaland;1
652207859;Equipo Ramosburgh;2
682896830;Equipo Hillfurt;4
71243604;Equipo New Julia;3
811355021;Equipo Roberthaven;2
326709654;Equipo Lake Annastad;5
633727821;Equipo New Jennifer;2
881074233;Equipo Douglasstad;4
906538129;Equipo Lake Kristen;1
592748299;Equipo Port Helen;1
308857980;Equipo Nelsonshire;2
298719218;Equipo Kendramouth;1
743521397;Equipo Ryanbury;3
250737554;Equipo South Maryville;2
764946392;Equipo South Katrina;2
100533114;Equipo South Jessefurt;1
620538076;Equipo Port Tylerfort;3
463636582;Equipo Port Davidside;2
77084417;Equipo Lake Chadbury;5
390122230;Equipo Weissland;2
247835838;Equipo Amberside;5
362917490;Equipo Carlamouth;4
798409631;Equipo South Alexis;1
509337825;Equipo North Veronicafort;3
903096808;Equipo North Timothyville;4
450334;Equipo Rivasbury;4
396344713;Equipo Kristenchester;3
256879761;Equipo Mcdonaldport;4
547211132;Equipo West Jose;5
451364087;Equipo North Jonathanport;2
472044946;Equipo Ericaport;1
177014941;Equipo Reneemouth;5
67677243;Equipo West Julie;4
392884671;Equipo New Williamside;3
136166457;Equipo South Roberthaven;4
383771794;Equipo Port Richard;2
952340407;Equipo Hoburgh;2
106984658;Equipo Lake Jamesborough;2
46227234;Equipo West Joshua;3
9827856;Equipo South Robertshire;2
260186266;Equipo North Danielmouth;1
36559503;Equipo Hansenstad;1
403870858;Equipo Jakestad;4
190234105;Equipo Blackwellland;3
492476390;Equipo South Robertport;3
648899225;Equipo Lindsayville;3
776396276;Equipo Robertoshire;2
233883801;Equipo North Caitlinfort;4
316090591;Equipo Mooreburgh;4
340204374;Equipo Aaronchester;2
70980122;Equipo Port Shellyville;3
628608101;Equipo Simstown;1
772899519;Equipo Benjaminland;1
39251621;Equipo New Aprilstad;5
411632417;Equipo North Maryport;2
935526202;Equipo South Pennyfurt;4
326298875;Equipo North Jonathonport;2
748445558;Equipo East Lori;2
997526378;Equipo South Travisland;5
4354453;Equipo Port Bobby;2
510191994;Equipo Lake Tiffany;2
973668963;Equipo Port Kristi;3
572135176;Equipo South Jamesborough;3
409448737;Equipo Port Zacharybury;5
659311442;Equipo Sandersmouth;3
962499811;Equipo South April;1
284194563;Equipo South Daisy;4
65403541;Equipo Roseborough;5
657927588;Equipo Reginaton;2
836453326;Equipo Lake Virginiatown;2
332881659;Equipo East Chadstad;3
546813599;Equipo Mendozaside;5
536200757;Equipo Allenville;3
441619351;Equipo Brianside;3
821857790;Equipo Pennymouth;5
258028951;Equipo Lake Jordan;2
142484395;Equipo South Johnhaven;1
48635370;Equipo Hawkinsmouth;5
531142464;Equipo Angelabury;5
358291296;Equipo West Lisashire;3
380624241;Equipo Port Kelliebury;5
746367491;Equipo Lake Heather;3
856355056;Equipo South Benjamin;4
427204169;Equipo Paigeville;3
337599136;Equipo North John;4
562832440;Equipo East Tonyaburgh;3
924085225;Equipo Martinview;1
347104942;Equipo South Alexander;3
180057354;Equipo Jenniferborough;4
504799846;Equipo South Cynthiachester;2
285886986;Equipo Velasquezborough;5
519069891;Equipo West Brianna;1
559728032;Equipo Bergerport;5
850634914;Equipo New Taylorland;5
725677422;Equipo Whiteport;2
998600522;Equipo Williamsmouth;1
37132430;Equipo Nicoleside;4
83887154;Equipo Lake Joshua;4
255187861;Equipo Reyesmouth;2
271186096;Equipo North Charleneberg;1
367083118;Equipo Dawsonfort;2
701434586;Equipo Lopezmouth;2
43833791;Equipo Gloriaview;4
87195155;Equipo Cooktown;3
52082299;Equipo Palmerhaven;3
869260712;Equipo West Vernonfort;4
629573507;Equipo Christopherfurt;3
418402916;Equipo West Katelyn;1
136960493;Equipo Jenniferview;1
45700875;Equipo West Christiehaven;2
751977709;Equipo Emilyview;2
904648465;Equipo Lake Elizabeth;3
586527770;Equipo North Michael;1
621701881;Equipo Lake Emily;5
832952317;Equipo Bridgetburgh;1
220387260;Equipo Campostown;4
543288322;Equipo North Christophertown;1
959162472;Equipo Johnfort;2
40688433;Equipo Justinland;2
970023514;Equipo Port Abigail;4
608707469;Equipo East Vanessamouth;1
600172073;Equipo Marieburgh;4
338656319;Equipo Daniellehaven;2
635625545;Equipo West Elizabethstad;1
505004985;Equipo Christopherton;3
466588090;Equipo Melissaberg;5
695628778;Equipo Meganstad;5
13730057;Equipo East Steven;1
373569279;Equipo Lake Hannahmouth;1
938311985;Equipo South Adamside;3
892495102;Equipo Stevenside;1
898086257;Equipo New Timothyton;4
947525753;Equipo West Jeremy;3
258978875;Equipo Andersonville;3
426193404;Equipo Erikhaven;1
189662389;Equipo Lake Darylland;2
687089293;Equipo West Elizabeth;3
969978713;Equipo Lake Anthonychester;3
425217571;Equipo Tinaland;5
375509414;Equipo Turnerchester;5
809346805;Equipo Matthewbury;4
12597665;Equipo West Paulborough;5
257111220;Equipo New Sandraville;3
595168994;Equipo Caldwellchester;3
560193875;Equipo Duranside;2
906864213;Equipo Robertfurt;2
113778381;Equipo Oneillside;3
672983541;Equipo Sethtown;2
933387750;Equipo West Carla;3
39962260;Equipo Lake Aliciaburgh;3
565782588;Equipo Mcintoshstad;5
247793282;Equipo Hamiltonstad;2
33392986;Equipo Tammyport;3
254974079;Equipo North Dustinland;3
273637119;Equipo Port Lauren;3
867004940;Equipo South Justin;5
612799687;Equipo East Jamestown;4
186428819;Equipo Webbshire;4
625011902;Equipo Lake Charlotte;3
456446995;Equipo Angelaview;1
920973952;Equipo Lake Jessica;2
316564165;Equipo Sharonborough;4
807739709;Equipo Carrieport;2
252820000;Equipo Stokesstad;1
212744889;Equipo Dorseymouth;4
841597871;Equipo Davidfort;1
415354742;Equipo Phillipshire;3
525083650;Equipo Lake Robertside;3
289609798;Equipo East Brittanystad;2
456226957;Equipo Amyview;4
968621451;Equipo South Jenniferfort;5
308202341;Equipo North Andrea;4
86089180;Equipo Angelamouth;2
438444683;Equipo Kristinafurt;2
83515978;Equipo Stewartchester;5
436742837;Equipo Morganmouth;1
374011992;Equipo South Robinstad;3
205486302;Equipo North Matthewbury;4
400251395;Equipo Richardsonport;5
156437657;Equipo Grayview;1
120397850;Equipo Nealmouth;2
269425229;Equipo Dixonside;1
940693510;Equipo Landryburgh;5
709701284;Equipo Phillipport;5
783530705;Equipo Michaelfort;2
169203009;Equipo East Kayla;1
139905949;Equipo New Jamesbury;1
961676285;Equipo Stevenburgh;3
862328051;Equipo South Juan;3
23158941;Equipo East Heather;2
92602214;Equipo New Holly;4
597787331;Equipo New John;5
772218456;Equipo Michaelton;1
434120700;Equipo Erinberg;4
226353473;Equipo Millershire;2
128428311;Equipo North Justin;2
755074860;Equipo Brandiburgh;4
873790738;Equipo New Johnstad;5
783296420;Equipo Lake Michaelton;4
196723915;Equipo Brendaburgh;4
74595647;Equipo Wilsonberg;2
909797254;Equipo Smithside;2
184419895;Equipo New Charles;5
24568346;Equipo Melissaport;5
402503671;Equipo Rogerton;2
260814738;Equipo Sherribury;1
59256282;Equipo Mendezshire;5
767271868;Equipo Salazarside;1
42413608;Equipo Port Madisonfurt;1
105449218;Equipo Jasonton;3
470310531;Equipo Ericastad;5
274447459;Equipo West Michael;5
162181040;Equipo East Johnport;3
544060919;Equipo North Kevinville;5
154172251;Equipo Annaville;1
591046836;Equipo East Davidberg;2
813421545;Equipo Perryport;2
940670267;Equipo Tammyberg;5
480795639;Equipo Mariaberg;3
676469963;Equipo North Roy;1
600889192;Equipo Port Robertport;3
663894219;Equipo North Jessica;5
394975707;Equipo Jackborough;1
669539247;Equipo Michaelborough;1
777017641;Equipo Katherineburgh;1
204579;Equipo Port Robert;5
836852320;Equipo Port Andrewberg;1
158909880;Equipo Carrieland;1
762491228;Equipo Smithside;4
360726105;Equipo Aaronfurt;5
713050293;Equipo Yufort;1
259010093;Equipo North Steven;1
89382450;Equipo Barnettside;1
282635229;Equipo Jeffreyview;5
121870129;Equipo Crystalside;5
883142727;Equipo Fletchermouth;3
785554928;Equipo Jessicaborough;3
427808983;Equipo South Emilyburgh;5
499279830;Equipo North Edwin;5
980004616;Equipo North Nathaniel;2
395699559;Equipo Browntown;2
652982622;Equipo Phillipfort;4
937956188;Equipo Butlerstad;2
174951910;Equipo Alexismouth;4
478403148;Equipo Port Charles;4
900445797;Equipo Harmonbury;2
887571526;Equipo Michelleville;5
451892665;Equipo Felicialand;2
967259860;Equipo Port Denisefort;3
335926279;Equipo West Morgan;5
324585281;Equipo South Bradley;3
939649359;Equipo Martinezchester;2
422192258;Equipo East Alejandra;5
975541535;Equipo West Victoria;5
380031763;Equipo Zacharyfort;1
220202126;Equipo South Connieville;3
544837921;Equipo East Tiffany;3
776947731;Equipo East Nathanborough;5
9756025;Equipo North Thomas;1
912613839;Equipo Port Sandraborough;5
183389058;Equipo New Lee;3
379424613;Equipo West Stephanie;5
608218681;Equipo Solomonborough;1
177036263;Equipo North Chad;1
501798171;Equipo East Anthony;3
876750726;Equipo South Shawna;3
974198307;Equipo Lake Shelby;2
292855376;Equipo East Jason;3
531639642;Equipo South Chaseshire;4
571388020;Equipo North Joseph;5
927996988;Equipo Hernandezland;2
821130040;Equipo New Jenny;5
628339622;Equipo Lake Tracey;2
569304690;Equipo New Michael;3
159859246;Equipo Nicolaschester;4
386032348;Equipo Lake Amberberg;5
839492877;Equipo West Curtisfurt;1
519407439;Equipo Lake David;2
487942361;Equipo Alexandraburgh;3
625437911;Equipo Jamesland;3
511804281;Equipo Kathrynburgh;3
265317728;Equipo Christinaport;4
22166681;Equipo Edwardsberg;3
611505733;Equipo Laurenhaven;2
591828506;Equipo West Ryan;3
803884639;Equipo New Christophershire;2
361512686;Equipo East Johnchester;3
581071361;Equipo Porterport;4
363590481;Equipo Lake Isaacburgh;4
17770609;Equipo Stevenchester;2
94156160;Equipo East Robert;3
915010897;Equipo South Elizabeth;3
767633707;Equipo West Davidside;3
528438037;Equipo Josephberg;3
997537125;Equipo Stephanietown;5
884205154;Equipo Wilkinsonville;5
199483500;Equipo Ginaport;3
156577343;Equipo New Michael;4
915015198;Equipo West Edwardtown;5
996710955;Equipo West Dawn;3
305118989;Equipo East Melissafort;1
468566092;Equipo West Josephhaven;4
162396891;Equipo Lake Elijahshire;5
785434459;Equipo Lake Matthew;1
718594890;Equipo Garciahaven;4
542964542;Equipo Angelaland;1
473860964;Equipo Port Michael;2
497945015;Equipo Timothyport;2
195665085;Equipo Goodwinmouth;4
861000543;Equipo Quinnfurt;1
548304721;Equipo Garciaberg;3
526186379;Equipo Lake Marvin;1
78237574;Equipo Lake Matthew;5
159240171;Equipo North Kathleenton;3
611800712;Equipo Kingmouth;1
476752104;Equipo Lake Mike;4
888540185;Equipo Brownhaven;4
420729954;Equipo Leeville;2
178479985;Equipo Port Melissaberg;3
177204106;Equipo South Robertburgh;2
576734880;Equipo East Robertstad;1
393305628;Equipo Padillaside;4
706926455;Equipo Port Kristinemouth;5
254866948;Equipo Gloriastad;5
202033494;Equipo Port Dawnmouth;1
49993327;Equipo Prattshire;1
807051303;Equipo South Linda;5
707733092;Equipo West Maria;4
384621363;Equipo Garciaside;5
272848941;Equipo South Nicoleville;2
305802276;Equipo Beckstad;5
785833805;Equipo Moyerfort;4
653013386;Equipo South Phillip;1
413737405;Equipo Dennisfurt;3
449422783;Equipo Wintersstad;1
671871795;Equipo New Maureenstad;1
123792732;Equipo Welchport;4
716654631;Equipo East Emily;4
740451694;Equipo Velezborough;1
525373204;Equipo Nelsonbury;3
941380931;Equipo Nashmouth;2
11338211;Equipo Lake Helen;2
718549793;Equipo Nielsenberg;1
737713667;Equipo East Amandabury;5
273210585;Equipo Ortegafort;4
335186873;Equipo Dalefort;3
816519326;Equipo West Jeffrey;3
270485974;Equipo East Chrisborough;5
371960375;Equipo Port Allison;2
683870248;Equipo New Scott;2
111364503;Equipo Joelburgh;4
82895104;Equipo South Susanview;4
309186613;Equipo South Luismouth;1
988186844;Equipo South Jenniferland;4
604691773;Equipo Port Marcus;4
482521055;Equipo South Sandraberg;5
858790349;Equipo Lake Joseph;1
504567676;Equipo North Johnmouth;1
207094513;Equipo Davisborough;1
619697897;Equipo Anthonyport;4
757703012;Equipo Amberstad;1
578700820;Equipo Figueroaborough;4
880172673;Equipo Hallfurt;5
915730916;Equipo New Dawnville;4
725451757;Equipo East Anthonyhaven;5
979067202;Equipo Matthewburgh;5
20178007;Equipo Rivasfurt;4
818101464;Equipo East Chelseamouth;2
490637187;Equipo West Marilyn;1
268072734;Equipo East Philipville;4
992946281;Equipo Omarville;4
645128450;Equipo Laurenland;1
690495692;Equipo South Katelyn;4
683345018;Equipo Johnsonfurt;4
14407637;Equipo Chelseaburgh;5
147537827;Equipo New Patriciamouth;5
680008904;Equipo Troyton;4
535801121;Equipo Heiditown;3
163202263;Equipo Port Chadton;1
651508652;Equipo Lukeview;5
36233553;Equipo New Natalie;2
552918815;Equipo Lake David;4
846576962;Equipo New Ronnieside;4
772561483;Equipo North Michaelchester;5
991535469;Equipo West Angela;4
447794248;Equipo Port Adam;3
491543504;Equipo Everettborough;4
409207151;Equipo Jacquelinefort;3
572948552;Equipo North Samuel;2
504838814;Equipo Lake Adamfort;2
397668293;Equipo North Shaun;4
234616126;Equipo Port Joseph;4
602069891;Equipo East Anita;1
778273988;Equipo Port Michaelburgh;1
873701003;Equipo Lake Marcland;2
800448297;Equipo New Allison;5
167589067;Equipo Millerfort;5
531964630;Equipo East James;5
628070169;Equipo North Samanthaview;4
701148489;Equipo East Joseph;4
75177400;Equipo Lake Jonbury;4
563479463;Equipo North Ashleystad;4
11557733;Equipo North Sarah;5
752236075;Equipo South Kimberly;4
919695094;Equipo West Samanthatown;4
956354772;Equipo Herreraburgh;2
632808475;Equipo South Patrick;3
230454670;Equipo Reyeschester;1
726434434;Equipo Torresfurt;5
813234794;Equipo Port James;1
282669058;Equipo Port Joyceshire;5
800233348;Equipo Kingshire;5
61793037;Equipo West Dawnmouth;2
939149419;Equipo Richardsville;5
830516751;Equipo Henrystad;3
